"","age","price","bedrooms","bathrooms","bathroom_to_bedroom_ratio","floors","waterfront","view","condition","grade","yr_renovated","sqft_living15","sqft_lot15","sqft_above","sqft_basement"
"1476","Average","Expensive","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Average","No basement"
"1477","Moderately New","Expensive","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","No basement"
"1478","New","Premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Large","No basement"
"1479","Average","Cheap","6","3","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Large","Average","Large","No basement"
"1480","Old","Premium","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Average","Small","Large","No basement"
"1481","Moderately New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Large","Large","No basement"
"1482","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","No basement"
"1483","Moderately New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very large","Very large","No basement"
"1484","Moderately New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very large","Very large","No basement"
"1485","Moderately Old","Premium","3","1","Less than adequate","1","Yes","Multiple views","Excellent","Poor","Not renovated","Very small","Very large","Very small","No basement"
"1486","Moderately Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Small","Average","Very small","No basement"
"1487","Moderately New","Cheap","5","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Small","Small","Medium"
"1488","New","Ultra premium","4","4","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Large","Very large","No basement"
"1489","Average","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Very small","Small"
"1490","Average","Premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Very large","Average","Small"
"1491","New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Small","Very large","No basement"
"1492","Old","Expensive","2","1","Less than adequate","1","No","Multiple views","Excellent","Poor","Not renovated","Very small","Small","Very small","No basement"
"1493","Moderately New","Premium","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Average","No basement"
"1494","Average","Premium","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Large","Average","Large","No basement"
"1495","Moderately Old","Expensive","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Very small","No basement"
"1496","New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"1497","Moderately New","Affordable","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Average","Very large","No basement"
"1498","New","Expensive","3","4","More than adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","Small"
"1499","New","Ultra premium","4","3","Adequate","2","No","Multiple views","Decent","Decent","Not renovated","Large","Very small","Large","Small"
"1500","Average","Ultra premium","4","3","Adequate","1","No","Multiple views","Excellent","Decent","Not renovated","Large","Average","Large","Medium"
"1501","Average","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Very small","Medium"
"1502","Average","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Average","Small","No basement"
"1503","Average","Affordable","5","3","Adequate","2","No","No view","Good","Decent","Not renovated","Very small","Average","Large","No basement"
"1504","Moderately Old","Premium","6","3","Less than adequate","1","No","Multiple views","Decent","Decent","Not renovated","Large","Average","Very large","Medium"
"1505","Moderately Old","Ultra premium","5","3","Adequate","2","No","Multiple views","Decent","Good","Renovated","Very large","Very large","Very large","No basement"
"1506","Average","Cheap","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Average","Small","No basement"
"1507","Old","Ultra premium","3","1","Less than adequate","1","No","Multiple views","Decent","Decent","Not renovated","Average","Very small","Small","Large"
"1508","Average","Affordable","4","3","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Average","Large","Small"
"1509","Moderately New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Average","Very large","No basement"
"1510","New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"1511","Moderately New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Average","Large","No basement"
"1512","Average","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Small","No basement"
"1513","Average","Expensive","5","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Average","Large"
"1514","Moderately Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Small","Very small","No basement"
"1515","Moderately New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","No basement"
"1516","Moderately New","Premium","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","No basement"
"1517","New","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Very small","Average","Small"
"1518","Average","Premium","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Very large","Average","Small"
"1519","Old","Expensive","3","2","Adequate","1","No","Multiple views","Excellent","Decent","Not renovated","Average","Small","Very small","Large"
"1520","Average","Ultra premium","4","2","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Large","Very large","Very large","No basement"
"1521","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Very large","Average","No basement"
"1522","Very Old","Premium","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","No basement"
"1523","Moderately New","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Average","Average","No basement"
"1524","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Very large","Very small","No basement"
"1525","Average","Expensive","4","3","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Small","Large"
"1526","Moderately New","Ultra premium","4","3","Adequate","1","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"1527","Moderately New","Expensive","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Small","Small"
"1528","Average","Ultra premium","5","3","Adequate","2","No","Multiple views","Good","Decent","Not renovated","Large","Large","Average","Small"
"1529","Average","Premium","5","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Average","Small"
"1530","New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"1531","Moderately New","Ultra premium","4","4","Adequate","2","No","No view","Good","Good","Not renovated","Very large","Very large","Very large","No basement"
"1532","Old","Ultra premium","3","4","More than adequate","2","No","Multiple views","Excellent","Decent","Not renovated","Large","Small","Average","Small"
"1533","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","Very Small"
"1534","Average","Ultra premium","2","3","More than adequate","2","No","No view","Excellent","Decent","Not renovated","Large","Very small","Large","No basement"
"1535","Moderately Old","Premium","4","2","Less than adequate","1","No","Multiple views","Good","Decent","Not renovated","Large","Large","Small","Very Small"
"1536","New","Ultra premium","6","4","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","Small"
"1537","Moderately New","Ultra premium","5","3","Adequate","2","No","No view","Decent","Decent","Renovated","Small","Average","Very large","No basement"
"1538","Average","Affordable","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Average","No basement"
"1539","Moderately New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Large","Large","No basement"
"1540","New","Ultra premium","6","4","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","Small"
"1541","Moderately Old","Expensive","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Average","Average","No basement"
"1542","Old","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Average","Very Small"
"1543","Moderately Old","Affordable","2","1","Less than adequate","2","No","No view","Good","Decent","Not renovated","Small","Very small","Very small","Small"
"1544","Moderately Old","Ultra premium","3","2","Adequate","1","No","Multiple views","Excellent","Decent","Not renovated","Very large","Large","Small","Medium"
"1545","Moderately Old","Expensive","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Very small","Large"
"1546","Moderately Old","Cheap","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Average","No basement"
"1547","Average","Affordable","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Very large","Large","No basement"
"1548","Average","Expensive","3","3","Adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Average","Small","Small"
"1549","Old","Cheap","2","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Average","Very small","No basement"
"1550","Old","Expensive","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Very small","Very small","Large"
"1551","New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Average","Very large","No basement"
"1552","Average","Cheap","3","2","Adequate","2","No","No view","Good","Decent","Not renovated","Average","Average","Average","No basement"
"1553","Moderately New","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Small","No basement"
"1554","Average","Affordable","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Small","Small"
"1555","Average","Ultra premium","4","2","Less than adequate","2","No","No view","Good","Good","Not renovated","Very large","Very large","Large","No basement"
"1556","Average","Affordable","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Average","Very small","No basement"
"1557","Moderately New","Affordable","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Large","Average","No basement"
"1558","New","Ultra premium","5","4","Adequate","2","No","Multiple views","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"1559","Average","Premium","3","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Very large","Average","Medium"
"1560","Moderately Old","Ultra premium","3","2","Adequate","1","No","Multiple views","Decent","Decent","Not renovated","Large","Average","Small","Very Small"
"1561","Old","Premium","4","2","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Very small","Very small","Average","Small"
"1562","Average","Expensive","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Average","Average","No basement"
"1563","Average","Premium","2","3","More than adequate","1","No","No view","Good","Good","Not renovated","Average","Very large","Large","Small"
"1564","New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very small","Average","Small"
"1565","Moderately Old","Premium","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Very small","Medium"
"1566","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"1567","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Large","Very small","No basement"
"1568","Moderately New","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Average","No basement"
"1569","New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"1570","New","Ultra premium","3","4","More than adequate","2","No","No view","Decent","Good","Not renovated","Very large","Average","Very large","No basement"
"1571","New","Premium","5","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Small","Very large","No basement"
"1572","Moderately Old","Cheap","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Small","Medium"
"1573","Average","Ultra premium","4","2","Less than adequate","1","No","No view","Decent","Decent","Renovated","Average","Average","Average","Medium"
"1574","Average","Premium","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Average","Medium"
"1575","Moderately New","Affordable","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Small","Large","No basement"
"1576","Moderately New","Ultra premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","Medium"
"1577","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Very small","No basement"
"1578","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Very small","No basement"
"1579","Very Old","Expensive","3","1","Less than adequate","1","No","No view","Decent","Decent","Renovated","Very small","Small","Average","No basement"
"1580","Old","Premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very small","Average","Small"
"1581","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Very small","Very small","Very Small"
"1582","Old","Affordable","4","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Very small","Medium"
"1583","Average","Expensive","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Small","Medium"
"1584","Old","Ultra premium","4","2","Less than adequate","2","No","Multiple views","Good","Good","Not renovated","Very large","Small","Very large","No basement"
"1585","Moderately Old","Ultra premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Very large","Large","No basement"
"1586","Old","Affordable","3","2","Adequate","1","No","No view","Good","Poor","Not renovated","Very small","Very large","Average","No basement"
"1587","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"1588","Moderately Old","Expensive","2","2","Adequate","1","No","Single View","Excellent","Decent","Not renovated","Small","Small","Small","Small"
"1589","Average","Expensive","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Average","Large","No basement"
"1590","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Small","No basement"
"1591","New","Premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very small","Large","No basement"
"1592","Moderately Old","Expensive","4","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Average","No basement"
"1593","Moderately New","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very large","Small","Small"
"1594","Old","Ultra premium","4","3","Adequate","1","No","Multiple views","Decent","Decent","Renovated","Very large","Average","Average","Large"
"1595","Old","Expensive","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Small","Very small","Large"
"1596","Moderately Old","Ultra premium","6","3","Less than adequate","1","No","No view","Good","Decent","Renovated","Very large","Very large","Large","No basement"
"1597","Moderately New","Affordable","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Very small","Very small","No basement"
"1598","Old","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Renovated","Small","Average","Large","No basement"
"1599","Moderately New","Expensive","2","2","Adequate","2","No","No view","Good","Decent","Not renovated","Small","Very small","Average","No basement"
"1600","Old","Expensive","4","1","Less than adequate","1","No","Multiple views","Decent","Decent","Not renovated","Average","Small","Small","No basement"
"1601","New","Premium","4","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"1602","Moderately New","Ultra premium","3","3","Adequate","2","No","No view","Good","Good","Not renovated","Large","Small","Large","Small"
"1603","Moderately Old","Ultra premium","4","2","Less than adequate","1","No","Single View","Poor","Decent","Not renovated","Large","Large","Average","Medium"
"1604","Moderately New","Ultra premium","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Large","Very large","No basement"
"1605","Average","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Large","Small","No basement"
"1606","Old","Expensive","2","2","Adequate","1","No","No view","Good","Poor","Not renovated","Very small","Small","Very small","Very large"
"1607","Average","Ultra premium","5","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Very large","Large","Large"
"1608","Moderately New","Affordable","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Very large","No basement"
"1609","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Excellent","Poor","Not renovated","Very small","Average","Small","Medium"
"1610","Average","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Large","Very small","No basement"
"1611","Old","Premium","4","3","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very small","Average","Very Small"
"1612","Average","Affordable","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Very large","Small","Medium"
"1613","Moderately New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very large","Average","Medium"
"1614","New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"1615","Old","Expensive","3","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Small","Small","Average","No basement"
"1616","Moderately New","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Small","Average","No basement"
"1617","Moderately Old","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very small","Small","No basement"
"1618","New","Affordable","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Very small","Medium"
"1619","Moderately Old","Premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Average","No basement"
"1620","Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Small","Very small","No basement"
"1621","Moderately New","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Very small","No basement"
"1622","Average","Cheap","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Large","Small","Large"
"1623","Moderately New","Premium","4","3","Adequate","1","No","No view","Excellent","Decent","Not renovated","Very large","Very large","Very large","No basement"
"1624","Moderately New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Average","Average","No basement"
"1625","New","Ultra premium","3","3","Adequate","2","No","Multiple views","Decent","Good","Not renovated","Small","Very large","Very large","No basement"
"1626","Old","Cheap","2","2","Adequate","1","No","No view","Decent","Poor","Not renovated","Average","Large","Small","No basement"
"1627","Old","Cheap","2","1","Less than adequate","1","No","Multiple views","Decent","Decent","Not renovated","Average","Very small","Very small","No basement"
"1628","New","Ultra premium","4","4","Adequate","2","No","No view","Decent","Good","Not renovated","Large","Very small","Very large","Very Small"
"1629","Old","Ultra premium","2","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very large","Small","Average","No basement"
"1630","Moderately Old","Cheap","1","1","Adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Average","Very small","No basement"
"1631","Average","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Very small","Medium"
"1632","Moderately New","Premium","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very large","Large","No basement"
"1633","Moderately New","Premium","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Very large","Large","No basement"
"1634","Average","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Small","No basement"
"1635","Moderately Old","Expensive","3","2","Adequate","1","No","Multiple views","Good","Decent","Not renovated","Large","Small","Small","Large"
"1636","Average","Expensive","4","3","Adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Average","Very small","Large"
"1637","Average","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Large","No basement"
"1638","Moderately New","Expensive","2","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very small","Small","No basement"
"1639","Moderately Old","Expensive","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Large","Small","Very Small"
"1640","Moderately New","Ultra premium","5","4","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Very large","Small"
"1641","Moderately Old","Premium","5","2","Less than adequate","1","No","Multiple views","Good","Decent","Not renovated","Average","Average","Very small","Large"
"1642","Moderately Old","Ultra premium","4","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Large","Large","No basement"
"1643","Moderately New","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Average","Very Small"
"1644","New","Cheap","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","No basement"
"1645","Average","Affordable","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Very large","Average","No basement"
"1646","Old","Premium","2","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Very small","No basement"
"1647","Average","Affordable","3","2","Adequate","2","No","No view","Good","Decent","Not renovated","Very large","Very large","Large","No basement"
"1648","Old","Expensive","2","2","Adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Very small","Very small","Medium"
"1649","Average","Cheap","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Large","Small","Small"
"1650","Moderately Old","Premium","4","2","Less than adequate","2","No","No view","Good","Poor","Not renovated","Small","Small","Large","Very Small"
"1651","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Large","Very small","No basement"
"1652","Moderately Old","Cheap","2","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Large","Average","No basement"
"1653","Old","Cheap","2","1","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Very small","Large","Small","No basement"
"1654","Average","Expensive","1","2","More than adequate","2","No","Multiple views","Decent","Decent","Not renovated","Large","Very large","Very large","No basement"
"1655","New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"1656","Moderately Old","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Small","No basement"
"1657","Old","Expensive","4","2","Less than adequate","1","No","No view","Decent","Decent","Renovated","Average","Large","Small","No basement"
"1658","Moderately Old","Expensive","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Small","Very small","Medium"
"1659","Moderately New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","No basement"
"1660","New","Affordable","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Average","Very small","Very Small"
"1661","Moderately New","Expensive","8","5","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Large","Small"
"1662","Average","Affordable","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Large","Large","No basement"
"1663","Moderately New","Ultra premium","3","3","Adequate","3","Yes","Multiple views","Decent","Decent","Not renovated","Large","Very large","Average","No basement"
"1664","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Good","Decent","Not renovated","Very large","Very large","Very large","No basement"
"1665","Old","Ultra premium","3","3","Adequate","2","No","Multiple views","Good","Decent","Renovated","Small","Small","Very large","Very Small"
"1666","Old","Premium","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Very small","Small","No basement"
"1667","Moderately Old","Cheap","4","2","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Large","Large","No basement"
"1668","Moderately Old","Affordable","5","2","Less than adequate","1","No","No view","Decent","Decent","Renovated","Very small","Small","Very small","Large"
"1669","Old","Premium","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Very small","Very small","Large"
"1670","Old","Affordable","3","2","Adequate","1","No","No view","Good","Poor","Not renovated","Very small","Very small","Small","Large"
"1671","Old","Premium","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Very large","No basement"
"1672","Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Very small","No basement"
"1673","Average","Affordable","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Small","Medium"
"1674","Moderately New","Cheap","4","2","Less than adequate","2","No","No view","Good","Decent","Not renovated","Average","Average","Large","No basement"
"1675","Old","Ultra premium","6","3","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Very large","Very Small"
"1676","Moderately Old","Cheap","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Large","Average","No basement"
"1677","Old","Ultra premium","4","4","Adequate","2","No","Multiple views","Excellent","Good","Not renovated","Very large","Large","Very large","Small"
"1678","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Large","Small","No basement"
"1679","Old","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Small","No basement"
"1680","Moderately Old","Expensive","5","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Average","Medium"
"1681","Average","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Very large","Large","Very Small"
"1682","New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very large","Very large","No basement"
"1683","Average","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very large","Very small","Medium"
"1684","Average","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Small","Medium"
"1685","Moderately Old","Premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Very large","Large","No basement"
"1686","Moderately New","Ultra premium","4","4","Adequate","2","No","Single View","Decent","Good","Not renovated","Very large","Very large","Very large","Small"
"1687","Moderately New","Expensive","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","No basement"
"1688","Moderately Old","Affordable","3","2","Adequate","1","No","No view","Good","Poor","Not renovated","Small","Large","Large","No basement"
"1689","Moderately Old","Expensive","2","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Average","Very large","Small","No basement"
"1690","New","Expensive","2","3","More than adequate","3","No","No view","Decent","Decent","Not renovated","Very small","Very small","Small","No basement"
"1691","New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very large","Very large","No basement"
"1692","Moderately New","Cheap","3","2","Adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Average","Average","No basement"
"1693","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"1694","Average","Cheap","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Very small","Very small","No basement"
"1695","Moderately New","Affordable","3","3","Adequate","3","No","No view","Decent","Decent","Not renovated","Small","Very small","Large","No basement"
"1696","Average","Affordable","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very large","Average","No basement"
"1697","Moderately New","Expensive","5","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Very large","Large","Large"
"1698","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","No basement"
"1699","Moderately Old","Affordable","4","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Small","No basement"
"1700","Old","Premium","3","2","Adequate","2","No","No view","Decent","Decent","Renovated","Average","Average","Large","No basement"
"1701","Moderately New","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Small","Small"
"1702","Old","Premium","2","1","Less than adequate","1","No","No view","Good","Decent","Renovated","Large","Very small","Very small","No basement"
"1703","Average","Cheap","4","2","Less than adequate","1","No","No view","Decent","Poor","Recently renovated","Very small","Small","Very small","No basement"
"1704","Moderately New","Premium","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very large","Very large","No basement"
"1705","Average","Expensive","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Large","Large","No basement"
"1706","Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Large","Small","No basement"
"1707","Old","Ultra premium","4","3","Adequate","2","No","No view","Excellent","Decent","Not renovated","Very large","Very small","Large","Small"
"1708","Moderately Old","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Small","Small"
"1709","New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Large","Very large","No basement"
